C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\gist_stimuli_gist_perception,,,,,,,,pgistgist,,,,,
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_LargePlate.png,Cash,Medium,Large,Gist,Gist,Medium piece of Cash,Not at all; Somewhat; Very Much; Completely,00110110,0,01,10,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_SmallPlate.png,Cake,Small,Small,Gist,Gist,Small piece of Cake,Not at all; Somewhat; Very Much; Completely,10000110,1,00,00,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_MediumPlate.png,Cake,Medium,Medium,Gist,Gist,Medium piece of Cake,Not at all; Somewhat; Very Much; Completely,10101110,1,01,01,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_SmallPlate.png,Cake,Medium,Small,Gist,Gist,Medium piece of Cake,Not at all; Somewhat; Very Much; Completely,10100110,1,01,00,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_MediumPlate.png,Cake,Small,Medium,Gist,Gist,Small piece of Cake,Not at all; Somewhat; Very Much; Completely,10001110,1,00,01,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_LargePlate.png,Cake,Large,Large,Gist,Gist,Large Piece of Cake,Not at all; Somewhat; Very Much; Completely,11010110,1,10,10,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_SmallPlate.png,Cash,Small,Small,Gist,Gist,Small piece of Cash,Not at all; Somewhat; Very Much; Completely,00000110,0,00,00,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_LargePlate.png,Cake,Small,Large,Gist,Gist,Small piece of Cake,Not at all; Somewhat; Very Much; Completely,10010110,1,00,10,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_MediumPlate.png,Cash,Large,Medium,Gist,Gist,Large piece of Cash,Not at all; Somewhat; Very Much; Completely,01001110,0,10,01,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_MediumPlate.png,Cash,Medium,Medium,Gist,Gist,Medium piece of Cash,Not at all; Somewhat; Very Much; Completely,00101110,0,01,01,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_LargePlate.png,Cash,Small,Large,Gist,Gist,Small piece of Cash,Not at all; Somewhat; Very Much; Completely,00010110,0,00,10,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_MediumPlate.png,Cash,Small,Medium,Gist,Gist,Small piece of Cash,Not at all; Somewhat; Very Much; Completely,00001110,0,00,01,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_SmallPlate.png,Cash,Medium,Small,Gist,Gist,Medium piece of Cash,Not at all; Somewhat; Very Much; Completely,00100110,0,01,00,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_SmallPlate.png,Cash,Large,Small,Gist,Gist,Large piece of Cash,Not at all; Somewhat; Very Much; Completely,01000110,0,10,00,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_MediumPlate.png,Cake,Large,Medium,Gist,Gist,Large piece of Cake,Not at all; Somewhat; Very Much; Completely,11001110,1,10,01,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_LargePlate.png,Cash,Large,Large,Gist,Gist,Large piece of Cash,Not at all; Somewhat; Very Much; Completely,01010110,0,10,10,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_LargePlate.png,Cake,Medium,Large,Gist,Gist,Medium piece of Cake,Not at all; Somewhat; Very Much; Completely,10110110,1,01,10,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_SmallPlate.png,Cake,Large,Small,Gist,Gist,Large piece of Cake,Not at all; Somewhat; Very Much; Completely,11000110,1,10,00,1,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\gist_stimuli_verbatim_perception,,,,,,,,pgistverb,,,,,
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_MediumPlate.png,Cash,Large,Medium,Verbatim,Gist,Large piece of Cash,0:20,01001010,0,10,01,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_MediumPlate.png,Cake,Medium,Medium,Verbatim,Gist,Medium piece of Cake,0:20,10101010,1,01,01,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_SmallPlate.png,Cake,Small,Small,Verbatim,Gist,Small piece of Cake,0:20,10000010,1,00,00,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_LargePlate.png,Cake,Small,Large,Verbatim,Gist,Small piece of Cake,0:20,10010010,1,00,10,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_SmallPlate.png,Cake,Large,Small,Verbatim,Gist,Large piece of Cake,0:20,11000010,1,10,00,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_LargePlate.png,Cash,Large,Large,Verbatim,Gist,Large piece of Cash,0:20,01010010,0,10,10,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_MediumPlate.png,Cake,Large,Medium,Verbatim,Gist,Large piece of Cake,0:20,11001010,1,10,01,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_LargePlate.png,Cake,Large,Large,Verbatim,Gist,Large piece of Cake,0:20,11010010,1,10,10,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_MediumPlate.png,Cash,Medium,Medium,Verbatim,Gist,Medium piece of Cash,0:20,00101010,0,01,01,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_MediumPlate.png,Cash,Small,Medium,Verbatim,Gist,Small piece of Cash,0:20,00001010,0,00,01,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_LargePlate.png,Cash,Small,Large,Verbatim,Gist,Small piece of Cash,0:20,00010010,0,00,10,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_LargePlate.png,Cake,Medium,Large,Verbatim,Gist,Medium piece of Cake,0:20,10110010,1,01,10,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_SmallPlate.png,Cash,Large,Small,Verbatim,Gist,Large piece of Cash,0:20,01000010,0,10,00,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_SmallPlate.png,Cake,Medium,Small,Verbatim,Gist,Medium piece of Cake,0:20,10100010,1,01,00,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_SmallPlate.png,Cash,Medium,Small,Verbatim,Gist,Medium piece of Cash,0:20,00100010,0,01,00,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_MediumPlate.png,Cake,Small,Medium,Verbatim,Gist,Small piece of Cake,0:20,10001010,1,00,01,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_SmallPlate.png,Cash,Small,Small,Verbatim,Gist,Small piece of Cash,0:20,00000010,0,00,00,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_LargePlate.png,Cash,Medium,Large,Verbatim,Gist,Medium piece of Cash,0:20,00110010,0,01,10,0,10
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\none_stimuli_gist_perception,,,,,,,,pnonegist,,,,,
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_SmallPlate.png,Cake,Small,Small,Gist,None,Small piece of Cake,Not at all; Somewhat; Very Much; Completely,10000100,1,00,00,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_LargePlate.png,Cake,Medium,Large,Gist,None,Medium piece of Cake,Not at all; Somewhat; Very Much; Completely,10110100,1,01,10,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_MediumPlate.png,Cash,Large,Medium,Gist,None,Large piece of Cash,Not at all; Somewhat; Very Much; Completely,01001100,0,10,01,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_LargePlate.png,Cash,Small,Large,Gist,None,Small piece of Cash,Not at all; Somewhat; Very Much; Completely,00010100,0,00,10,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_SmallPlate.png,Cash,Small,Small,Gist,None,Small piece of Cash,Not at all; Somewhat; Very Much; Completely,00000100,0,00,00,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_LargePlate.png,Cake,Small,Large,Gist,None,Small piece of Cake,Not at all; Somewhat; Very Much; Completely,10010100,1,00,10,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_MediumPlate.png,Cake,Medium,Medium,Gist,None,Medium piece of Cake,Not at all; Somewhat; Very Much; Completely,10101100,1,01,01,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_LargePlate.png,Cash,Medium,Large,Gist,None,Medium piece of Cash,Not at all; Somewhat; Very Much; Completely,00110100,0,01,10,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_SmallPlate.png,Cake,Medium,Small,Gist,None,Medium piece of Cake,Not at all; Somewhat; Very Much; Completely,10100100,1,01,00,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_SmallPlate.png,Cash,Medium,Small,Gist,None,Medium piece of Cash,Not at all; Somewhat; Very Much; Completely,00100100,0,01,00,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_SmallPlate.png,Cake,Large,Small,Gist,None,Large piece of Cake,Not at all; Somewhat; Very Much; Completely,11000100,1,10,00,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_MediumPlate.png,Cash,Medium,Medium,Gist,None,Medium piece of Cash,Not at all; Somewhat; Very Much; Completely,00101100,0,01,01,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_LargePlate.png,Cake,Large,Large,Gist,None,Large piece of Cake,Not at all; Somewhat; Very Much; Completely,11010100,1,10,10,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_MediumPlate.png,Cash,Small,Medium,Gist,None,Small piece of Cash,Not at all; Somewhat; Very Much; Completely,00001100,0,00,01,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_SmallPlate.png,Cash,Large,Small,Gist,None,Large piece of Cash,Not at all; Somewhat; Very Much; Completely,01000100,0,10,00,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_MediumPlate.png,Cake,Small,Medium,Gist,None,Small piece of Cake,Not at all; Somewhat; Very Much; Completely,10001100,1,00,01,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_LargePlate.png,Cash,Large,Large,Gist,None,Large piece of Cash,Not at all; Somewhat; Very Much; Completely,01010100,0,10,10,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_MediumPlate.png,Cake,Large,Medium,Gist,None,Large piece of Cake,Not at all; Somewhat; Very Much; Completely,11001100,1,10,01,1,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\none_stimuli_verbatim_perception,,,,,,,,pnoneverb,,,,,
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_MediumPlate.png,Cake,Large,Medium,Verbatim,None,Large piece of Cake,0:20,11001000,1,10,01,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_SmallPlate.png,Cake,Small,Small,Verbatim,None,Small piece of Cake,0:20,10000000,1,00,00,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_MediumPlate.png,Cash,Large,Medium,Verbatim,None,Large piece of Cash,0:20,01001000,0,10,01,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_LargePlate.png,Cash,Medium,Large,Verbatim,None,Medium piece of Cash,0:20,00110000,0,01,10,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_SmallPlate.png,Cash,Medium,Small,Verbatim,None,Medium piece of Cash,0:20,00100000,0,01,00,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_SmallPlate.png,Cake,Medium,Small,Verbatim,None,Medium piece of Cake,0:20,10100000,1,01,00,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_LargePlate.png,Cake,Medium,Large,Verbatim,None,Medium piece of Cake,0:20,10110000,1,01,10,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_SmallPlate.png,Cash,Large,Small,Verbatim,None,Large piece of Cash,0:20,01000000,0,10,00,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_6_MediumPlate.png,Cash,Medium,Medium,Verbatim,None,Medium piece of Cash,0:20,00101000,0,01,01,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_LargePlate.png,Cash,Small,Large,Verbatim,None,Small piece of Cash,0:20,00010000,0,00,10,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_SmallPlate.png,Cash,Small,Small,Verbatim,None,Small piece of Cash,0:20,00000000,0,00,00,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_LargePlate.png,Cake,Large,Large,Verbatim,None,Large piece of Cake,0:20,11010000,1,10,10,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_1_MediumPlate.png,Cash,Small,Medium,Verbatim,None,Small piece of Cash,0:20,00001000,0,00,01,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_MediumPlate.png,Cake,Small,Medium,Verbatim,None,Small piece of Cake,0:20,10001000,1,00,01,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_LargePiece_SmallPlate.png,Cake,Large,Small,Verbatim,None,Large piece of Cake,0:20,11000000,1,10,00,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_SmallPiece_LargePlate.png,Cake,Small,Large,Verbatim,None,Small piece of Cake,0:20,10010000,1,00,10,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\Cake_MediumPiece_MediumPlate.png,Cake,Medium,Medium,Verbatim,None,Medium piece of Cake,0:20,10101000,1,01,01,0,00
C:\Users\rdradmin\Dropbox\HEP Lab Info\HotCold_EEG_ReynaLab\HotCold_EEG_ExperimentPrep\HotCold_EEG_PsychoPy_experiment_files\CashStimuli_20_LargePlate.png,Cash,Large,Large,Verbatim,None,Large piece of Cash,0:20,01010000,0,10,10,0,00
